,cluster,title
12,3,An anytime approach to connectionist theory refinement - refining the topologies of knowledge-based neural networks.
62,3,Relatedness in evidence networks.
79,3,Performance management in ATM networks.
94,3,Topology preserving neural networks - connectionist learning of structured knowledge.
115,3,Handling realtime traffic in mobile networks.
121,3,Cooperation in heterogeneous theorem prover networks.
178,3,Tracking and Mitigation of Malicious Remote Control Networks.
197,3,Monitoring of multicast networks for time-synchronous communication.
271,3,Non-asymptotic performance evaluation and sampling-based parameter estimation for communication networks with long memory traffic.
293,3,Advancing evolution of artificial neural networks through behavioral adaptation.
294,3,Combinatorial problems in information networks and distributed datastructuring.
379,3,Design and quantitative analysis of protocols for epidemic information dissemination in mobile ad hoc networks.
398,3,Reading between the packets - implicit feedback in wireless multihop networks.
481,3,Dynamic time windows - congestion control and avoidance in high speed networks.
484,3,Internet integration of vehicular ad hoc networks.
544,3,Potential analysis for massively parallel computing and its application to neural networks.
559,3,Service deployment in programmable networks.
560,3,A system concept for ultra wideband (UWB) body area networks.
561,3,Self configuring services for extensible networks: a routing integrated approach.
566,3,Scalability of lookup and search overlays in peer to peer networks.
567,3,Scheduling and flow-related problems in networks: algorithms and complexity.
574,3,Entropy-based worm detection for fast IP networks.
575,3,A state based programming model for wireless sensor networks.
582,3,Testing of wireless sensor networks.
584,3,Composition and deployment of services in heterogeneous programmable networks.
586,3,Intra-body communication for biomedical sensor networks.
588,3,Adaptive end to end quality of service guarantees in IP networks.
595,3,"Algorithmic challenges in wireless networks: interference, energy and incentives."
598,3,Interval based time synchronization for mobile ad hoc networks.
599,3,Towards a secure and user friendly authentication method for public wireless networks.
606,3,Supporting distributed services in mobile ad hoc networks.
612,3,Distributed cryptographic protocols in asynchronous networks with universal composability.
614,3,Safety critical wireless sensor networks.
617,3,Computational complexity and scheduling algorithms for wireless networks.
622,3,Building scalable and robust wireless mesh networks.
632,3,Routing on the geometry of wireless ad hoc networks.
633,3,"Locality, scheduling, and selfishness: algorithmic foundations of highly decentralized networks."
647,3,Transmitting correlated sources over wireless networks.
668,3,Field based routing and its application to wireless ad hoc networks.
672,3,Energy efficient data gathering in sensor networks.
674,3,A generic accounting configuration architecture for multi-service mobile networks.
680,3,Understanding ad hoc networks: from geometry to mobility.
682,3,Guaranteed time synchronization in wireless and ad-hoc networks.
727,3,Energy optimization in wireless sensor networks: a study of power consumption and energy optimization.
736,3,Architectures of optical interconnection networks for high performance computing.
739,3,Heterogeneous wireless networks: networking protocol to security.
770,3,Distributed control of coded networks.
779,3,Task allocation and path planning for acoustic networks of AUVs.
791,3,Studies of model selection and regularization for generalization in neural networks with applications.
794,3,Modeling and determination of performance parameters of communication networks using dioid algebra.
801,3,Distributed detection and coding in information networks.
828,3,"Computational regulatory genomics: motifs, networks, and dynamics."
830,3,Principles of backlog balancing for rate-based flow control and congestion control in ATM networks.
871,3,Language processing in real and artificial neural networks.
872,3,First-passage-time problems in time-aware networks.
876,3,"Computacional module, based on neural networks for cutting force and roughness in turning."
895,3,Context-aware hybrid data dissemination in vehicular networks.
905,3,A methodology based on statistics models and neural networks to the software project devolopment effort estimation.
930,3,Design and implementation of efficient routing protocols in delay tolerant networks.
945,3,Novel optical techniques to enable network management in all-optical networks.
947,3,A unified theory of flow control and routing in data communication networks.
952,3,Throughput and delay analysis of frequency hopped multiple access networks.
953,3,Design methodology and stability analysis of recurrent neural networks for constrained optimization.
963,3,Feature selection and intrinsically multivariate prediction in gene regulatory networks identification.
964,3,Routing optimization strategy based on Bayesian game for delay and disruption tolerant networks with energy constraint.
966,3,"On fault tolerance, performance, and reliability for wireless and sensor networks."
971,3,EPMOSt: an energy-efficient passive monitoring system for Wireless Sensor Networks (EPMOSt: um sistema de monitoramento passivo energeticamente eficiente para redes de sensores sem fio).
982,3,Self-similar LAN/WAN traffic issues on high-speed QoS networks.
1005,3,Large deviations in high speed communication networks.
1011,3,Robust dependent task schedulers for grid networks.
1030,3,Multiplexing methods for fiber optic local communication networks.
1032,3,Reputation and trust-based security in wireless sensor networks.
1042,3,Modelling of polymerization reactors: deterministic and by neural networks.
