,cluster,title
2,1,Semantic Methods for Execution-level Business Process Modeling - Modeling Support Through Process Verification and Service Composition
14,1,Automated design of neural network architecture for classification.
20,1,A dynamic framework for subdivision surfaces.
22,1,Distributed optimisation algorithms for network problems.
23,1,Computer assisted planning for robotic radiosurgery.
29,1,Approximation algorithms for geometrical distance problems that are not solvable exactly.
42,1,Structure-based molecule indexing for sublinear virtual screening.
46,1,Markov localization - a probabilistic framework for mobile robot localization and navigation.
47,1,A rate allocation protocol using competitive pricing for improving performance of multicast sessions.
53,1,Dynamic Code Evolution for Java.
55,1,Hardware and software mechanisms for reducing load latency.
58,1,Instruction-processing optimization techniques for VLSI microprocessors.
60,1,Towards a strictness analyser for Haskell - putting theory into practice.
69,1,ClusterRAID - architecture and prototype of a distributed fault-tolerant mass storage system for clusters.
70,1,Data-parallel implementations of map analysis and animal movement for landscape ecology models.
74,1,3D invariants for automated pollen recognition.
80,1,Binary recovery methods for inverse problems.
81,1,Novel Techniques for Efficient and Effective Subgroup Discovery.
88,1,Stochastic models for performance analyses of iterative algorithms in distributed environments.
95,1,The SDL pattern approach - a reuse-driven SDL methodology for designing communication software systems.
108,1,Program and data transformations for efficient execution on distributed memory architectures.
116,1,"Stochastic local search - methods, models, applications."
123,1,Media encryption for still visual data - an analysis of selected techniques for natural images and fingerprint data in the spatial and wavelet domain.
126,1,Modeling of image variability for recognition.
129,1,Toward a complexity theory for randomized search heuristics.
133,1,A connectionist approach for learning search-control heuristics for automated deduction systems.
139,1,A Framework for Automated HW/SW Co-Verification of SystemC Designs Using Timed Automata.
140,1,OASIS - an open architecture for secure interworking services.
143,1,Visual logic - a visual source code animation system for teaching computer science at school.
148,1,Integrated problem solving framework as an intelligent aid for analyzing and synthesizing technical systems.
152,1,Compiler support for machine-independent parallelization of irregular problems.
153,1,Variational Methods for Medical Ultrasound Imaging.
155,1,Algebras for generalized power constructions.
159,1,Application support for mobile computing.
161,1,A unified framework for multi-level modeling.
164,1,Conquering contours - efficient algorithms for computational geometry.
165,1,New foundations for automation of default reasoning.
174,1,A solver for quantified Boolean formulas in negation normal form.
180,1,PREGMATIC - a generator for incremental programming environments.
188,1,A theoretical framework for reasoning about program construction based on extensions of rewrite systems.
199,1,Verification of Branching-Time and Alternating-Time Properties for Exogenous Coordination Models.
200,1,Algorithms and a software system for comparative genome analysis.
202,1,A proof system for a sequential object-based language.
206,1,A tactic-based inductive theorem prover for data types with partial operations.
211,1,A structural classification of protein-protein interactions for detection of convergently evolved motifs and for prediction of protein binding sites on sequence level.
215,1,Some extensional term models for combinatory logics and l - calculi.
216,1,Rendering for free form deformations.
224,1,Design of congestion avoidance mechanisms for communication systems using computational-intelligence-based methods.
225,1,A functional framework for efficient web-based scientific visualization systems.
227,1,New Concepts for Parallel Object-Relational Query Processing.
236,1,An object-oriented database Kernel for spatio-temporal geo-applications.
237,1,External memory algorithms for geographic information systems.
240,1,Dynamic Network Selection for Optimized Use of Mobile Internet.
241,1,Algorithms for constraints in deduction and knowledge representation.
248,1,Logic-based representation and reasoning for user modeling shell systems.
249,1,Vector quantization based learning algorithms for mixed data types and their application in cognitive support systems for biomedical research.
254,1,Spatial data types for database systems.
255,1,A constructive theory for diagram design and its algorithmic implementation.
258,1,Virtual endoscopy for preoperative planning and training of endonasal transsphenoidal pituitary surgery.
259,1,Kernels for structured data.
